bohrs, E_s, E_t, SOC_Real, SOC_Imag
4.7999999999999998, 0.46434158187452688E-1, 0.15059710595610107, 0.50000000000000001E-3, 0.10000000000000000E-2
4.8999999999999995, 0.46212857994862286E-1, 0.14687885016176644, 0.50000000000000001E-3, 0.10000000000000000E-2
4.9999999999999991, 0.45999169330278145E-1, 0.14325239843009507, 0.50000000000000001E-3, 0.10000000000000000E-2
5.0999999999999988, 0.45792830398362856E-1, 0.13971548411070370, 0.50000000000000001E-3, 0.10000000000000000E-2
5.1999999999999984, 0.45593588408120653E-1, 0.13626589651700635, 0.50000000000000001E-3, 0.10000000000000000E-2
5.2999999999999980, 0.45401199263196843E-1, 0.13290147954446335, 0.50000000000000001E-3, 0.10000000000000000E-2
5.3999999999999977, 0.45215427262829247E-1, 0.12962013032294584, 0.50000000000000001E-3, 0.10000000000000000E-2
5.4999999999999973, 0.45036044813085298E-1, 0.12641979790237332, 0.50000000000000001E-3, 0.10000000000000000E-2
5.5999999999999970, 0.44862832148030989E-1, 0.12329848197080333, 0.50000000000000001E-3, 0.10000000000000000E-2
5.6999999999999966, 0.44695577060490141E-1, 0.12025423160417117, 0.50000000000000001E-3, 0.10000000000000000E-2
5.7999999999999963, 0.44534074642064062E-1, 0.11728514404689894, 0.50000000000000001E-3, 0.10000000000000000E-2
5.8999999999999959, 0.44378127032093144E-1, 0.11438936352261134, 0.50000000000000001E-3, 0.10000000000000000E-2
5.9999999999999956, 0.44227543175252806E-1, 0.11156508007421503, 0.50000000000000001E-3, 0.10000000000000000E-2
6.0999999999999952, 0.44082138587486823E-1, 0.10881052843261657, 0.50000000000000001E-3, 0.10000000000000000E-2
6.1999999999999948, 0.43941735129991284E-1, 0.10612398691337166, 0.50000000000000001E-3, 0.10000000000000000E-2
6.2999999999999945, 0.43806160790972312E-1, 0.10350377634057646, 0.50000000000000001E-3, 0.10000000000000000E-2
6.3999999999999941, 0.43675249474910048E-1, 0.10094825899732786, 0.50000000000000001E-3, 0.10000000000000000E-2
6.4999999999999938, 0.43548840799070919E-1, 0.98455837602097182E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
6.5999999999999934, 0.43426779897018708E-1, 0.96024954310377220E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
6.6999999999999931, 0.43308917228883810E-1, 0.93654089740978677E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
6.7999999999999927, 0.43195108398158190E-1, 0.91341762026367485E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
6.8999999999999924, 0.43085213974791585E-1, 0.89086525886449386E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
6.9999999999999920, 0.42979099324372286E-1, 0.86886971725222736E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.0999999999999917, 0.42876634443183140E-1, 0.84741724749735223E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.1999999999999913, 0.42777693798930712E-1, 0.82649444110793446E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.2999999999999909, 0.42682156176952549E-1, 0.80608822064888563E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.3999999999999906, 0.42589904531714066E-1, 0.78618583156813998E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.4999999999999902, 0.42500825843413123E-1, 0.76677483422464415E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.5999999999999899, 0.42414810979516611E-1, 0.74784309611317712E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.6999999999999895, 0.42331754561059476E-1, 0.72937878428113875E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
7.7999999999999892, 0.42251554833542315E-1, 0.71137035793256975E-1, 0.50000000000000001E-3, 0.10000000000000000E-2
